rajatisid,rajatisnimi,kompleks,liik,omandiliik,om_oigvorm_id,omaniknimi,omanikregkood,va_oigvorm_id,valdajanimi,valdajaregkood,kaart_laius,kaart_pikkus,maakond,maakond_kood,kov,asustusyksus,asustusyksus_kood,riietusruumidemahutavus,objektid,objektnimi,tehnseisukord,spordialad,renoveerimisaasta,algusaasta,parkimiskohad
5060,holm jalgpallipark,0,välispalliväljak,hoonestusõigus,mittetulundusühing,jalgpalliklubi welco,80287033,mittetulundusühing,jalgpalliklubi welco,80287033,58.39418245,26.74095134,tartumaa,79,tartu linn,tartu linn,8151,60,10554,holm jalgpallipark,väga hea,jalgpall,2023.0,2021.0,140.0
3153,holstre-polli spordikeskus spordiplatsid,holstre-polli spordikeskus,"tenniseplats, välispalliväljak",kinnisasi,sihtasutus,sihtasutus holstre-polli spordikeskus,90015577,sihtasutus,sihtasutus holstre-polli spordikeskus,90015577,58.283878,25.663279,viljandimaa,84,viljandi vald,viisuküla,9305,50,6849,jalgpalliväljak,rahuldav,jalgpall,0.0,2013.0,86.0
1774,häädemeeste staadion,häädemeeste keskkool,staadion,kinnisasi,kohaliku omavalitsuse üksus,häädemeeste vallavalitsus,77000269,kohaliku omavalitsuse üksus,häädemeeste vallavalitsus,77000269,58.077435,24.499512,pärnumaa,68,häädemeeste,häädemeeste alevik,1957,0,2104,staadion,rahuldav,"jalgpall, kergejõustik",1988.0,1964.0,0.0
1505,ida-virumaa kutsehariduskeskuse ja sillamäe gümnaasiumi staadion,ida-virumaa kutsehariduskeskus ja sillamäe gümnaasium,staadion,kinnisasi,-,haridus- ja teadusministeerium,70000740,-,ida-virumaa kutsehariduskeskus,70007742,59.39187,27.79438,ida-virumaa,45,sillamäe,0,0,0,3105,staadion,rahuldav,"kergejõustik, jalgpall",0.0,1981.0,0.0
1489,ida-virumaa kutsehariduskeskuse võimla,0,"võimla, spordihall, spordisaal",kinnisasi,-,haridus- ja teadusministeerium,70000740,-,ida-virumaa kutsehariduskeskus,70007742,59.360557,27.398658,ida-virumaa,45,jõhvi,jõhvi linn,2270,30,765,võimla,mitterahuldav,"korvpall, saalijalgpall, saalihoki, kergejõustik",0.0,1972.0,60.0
27,iisaku gümnaasiumi staadion,iisaku gümnaasium,"staadion, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,alutaguse vallavalitsus,77000281,kohaliku omavalitsuse üksus,iisaku gümnaasium,75013670,59.096051,27.310349,ida-virumaa,45,alutaguse,iisaku alevik,2025,72,1723,staadion,rahuldav,"jalgpall, kergejõustik",1988.0,1968.0,30.0
1288,imavere jalgpalliväljak,imavere spordiväljakud,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,järva vallavalitsus,77000335,kohaliku omavalitsuse üksus,järva vallavalitsus,77000335,58.73586225,25.77411869,järvamaa,52,järva,imavere küla,2073,0,2976,imavere jalgpalliväljak,hea,jalgpall,0.0,2010.0,5.0
1576,inglise kolledži spordihoone,0,"siseujula, võimla, spordihall, spordisaal",hoonestusõigus,kohaliku omavalitsuse üksus,tallinna kultuuri- ja spordiamet,77001435,kohaliku omavalitsuse üksus,tallinna spordihall,75015982,59.433549,24.747144,harjumaa,37,tallinn,kesklinna linnaosa,298,170,1337,suur saal,väga hea,"saalihoki, võrkpall, saalijalgpall, korvpall",0.0,2007.0,50.0
3189,ingliste spordiväljak,ingliste spordiobjektid,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,kehtna vallavalitsus,77000252,kohaliku omavalitsuse üksus,kehtna vallavalitsus,77000252,59.01855,24.943063,raplamaa,71,kehtna,ingliste küla,2087,0,7293,jalgpalliväljak,mitterahuldav,jalgpall,0.0,1990.0,5.0
994,jalgpallistaadion lootospark,jalgpallistaadion lootospark,"muu spordiplats, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,põlva vallavalitsus,75038581,mittetulundusühing,"jalgpalliklubi ""lootos""",80031013,58.051797,27.049681,põlvamaa,64,põlva,põlva linn,6536,0,1420,jalgpallistaadion lootospark,väga hea,jalgpall,2019.0,2004.0,0.0
