rajatisid,rajatisnimi,kompleks,liik,omandiliik,om_oigvorm_id,omaniknimi,omanikregkood,va_oigvorm_id,valdajanimi,valdajaregkood,kaart_laius,kaart_pikkus,maakond,maakond_kood,kov,asustusyksus,asustusyksus_kood,riietusruumidemahutavus,objektid,objektnimi,tehnseisukord,spordialad,renoveerimisaasta,algusaasta,parkimiskohad,normalized_lockers,normalized_parking,normalized_renovation,normalized_start,normalized_condition,facilities_scores
505,tallinna kristiine gümnaasiumi staadion,tallinna kristiine gümnaasium,"staadion, välispalliväljak",hoonestusõigus,osaühing,vivatex holding oü,11271707,kohaliku omavalitsuse üksus,tallinna kristiine gümnaasium,75016533,59.418679,24.71927,harjumaa,37,tallinn,kristiine linnaosa,339,64,238,staadion,väga hea,"kergejõustik, jalgpall",2008.0,1963.0,15.0,0.042666666666666665,0.008710801393728223,0.8431372549019608,0.49166666666666664,1.0,0.5221325988932158
507,tallinna kunstigümnaasiumi spordisaal,tallinna kunstigümnaasium,"võimla, spordihall, spordisaal",kinnisasi,kohaliku omavalitsuse üksus,tallinna haridusamet,75014289,kohaliku omavalitsuse üksus,tallinna kunstigümnaasium,75017372,59.45656,24.680032,harjumaa,37,tallinn,põhja-tallinna linnaosa,614,96,6031,spordisaal,väga hea,"korvpall, võrkpall, akrobaatiline võimlemine",2008.0,1940.0,60.0,0.064,0.03484320557491289,0.8431372549019608,0.3,1.0,0.5202558857689418
508,tallinna kunstigümnaasiumi staadion,tallinna kunstigümnaasium,"staadion, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,tallinna haridusamet,75014289,kohaliku omavalitsuse üksus,tallinna kunstigümnaasium,75017372,59.457188,24.68099,harjumaa,37,tallinn,põhja-tallinna linnaosa,614,0,6033,staadion,rahuldav,"kergejõustik, jalgpall",2006.0,1940.0,75.0,0.0,0.04355400696864112,0.8235294117647058,0.3,0.6,0.33953064152490264
511,tallinna kuristiku gümnaasiumi staadion ja spordiväljakud,tallinna kuristiku gümnaasium,"muu vabas õhus asuv spordiobjekt, staadion, välispalliväljak",hoonestusõigus,osaühing,k&l arendus oü,12137365,kohaliku omavalitsuse üksus,tallinna kuristiku gümnaasium,75016852,59.44686,24.87869,harjumaa,37,tallinn,lasnamäe linnaosa,387,0,3352,staadion,väga hea,"jalgpall, kergejõustik",2020.0,1984.0,20.0,0.0,0.011614401858304297,0.9607843137254902,0.6666666666666666,1.0,0.5299924847987976
510,tallinna kuristiku gümnaasiumi võimla,tallinna kuristiku gümnaasium,"võimla, spordihall, spordisaal",hoonestusõigus,osaühing,k&l arendus oü,12137365,kohaliku omavalitsuse üksus,tallinna kuristiku gümnaasium,75016852,59.445883,24.878776,harjumaa,37,tallinn,lasnamäe linnaosa,387,20,697,võimla,väga hea,"võrkpall, käsipall, korvpall",2012.0,1984.0,50.0,0.013333333333333334,0.029036004645760744,0.8823529411764706,0.6666666666666666,1.0,0.5270204276832684
514,tallinna laagna gümnaasiumi jõusaal,tallinna laagna gümnaasium,"võimla, spordihall, spordisaal",hoonestusõigus,osaühing,vivatex holding oü,11271707,kohaliku omavalitsuse üksus,tallinna laagna gümnaasium,75016869,59.43780395,24.83989759,harjumaa,37,tallinn,lasnamäe linnaosa,387,15,10039,jõusaal,hea,"jõutõstmine, kulturism ja fitness, tõstesport",2020.0,2009.0,0.0,0.01,0.0,0.9607843137254902,0.875,0.8,0.4628284313725491
513,tallinna laagna gümnaasiumi spordisaal,tallinna laagna gümnaasium,"võimla, spordihall, spordisaal",hoonestusõigus,osaühing,vivatex holding oü,11271707,kohaliku omavalitsuse üksus,tallinna laagna gümnaasium,75016869,59.437824,24.839246,harjumaa,37,tallinn,lasnamäe linnaosa,387,100,3769,spordisaal,väga hea,"võrkpall, korvpall",2016.0,1980.0,50.0,0.06666666666666667,0.029036004645760744,0.9215686274509803,0.6333333333333333,1.0,0.5452753296440528
2643,tallinna laagna gümnaasiumi spordiväljakud,tallinna laagna gümnaasium,"muu vabas õhus asuv spordiobjekt, välispalliväljak",hoonestusõigus,osaühing,vivatex holding oü,11271707,kohaliku omavalitsuse üksus,tallinna laagna gümnaasium,75016869,59.437068,24.840281,harjumaa,37,tallinn,lasnamäe linnaosa,387,0,11857,jõulinnak,hea,"harrastusvõimlemine, kulturism ja fitness",2009.0,2009.0,0.0,0.0,0.0,0.8529411764705882,0.875,0.8,0.44904411764705887
515,tallinna laagna gümnaasiumi ujula,tallinna laagna gümnaasium,siseujula,hoonestusõigus,osaühing,vivatex holding oü,11271707,kohaliku omavalitsuse üksus,tallinna laagna gümnaasium,75016869,59.43780395,24.83989759,harjumaa,37,tallinn,lasnamäe linnaosa,387,160,3771,ujula,hea,ujumine,2009.0,1980.0,0.0,0.10666666666666667,0.0,0.8529411764705882,0.6333333333333333,0.8,0.46896078431372556
3366,tallinna laagna lasteaed-põhikooli spordiväljak,tallinna laagna lasteaed-põhikool,staadion,kinnisasi,kohaliku omavalitsuse üksus,tallinna haridusamet,75014289,kohaliku omavalitsuse üksus,tallinna laagna lasteaed-põhikool,75016875,59.437043,24.833704,harjumaa,37,tallinn,lasnamäe linnaosa,387,36,7330,staadion,hea,"jalgpall, kergejõustik",2013.0,2013.0,11.0,0.024,0.006387921022067364,0.8921568627450981,0.9083333333333333,0.8,0.46215174899227995
