,org_id,nimi,registrikood,maakond,maakond_kood,kov,kov_kood,kaart_laius,kaart_pikkus
94,7746,DG24 MTÜ,80624235,Tartumaa,79,Tartu vald,796,58.431826557235,26.814004742765
95,7480,DGC Team Kaer MTÜ,80601015,Tartumaa,79,Kastre,291,58.328910511718,26.792577349698
96,7999,Disc Golf Fanatics MTÜ,80634925,Harjumaa,37,Tallinn,784,59.426374552731,24.788568347944
97,7284,Disc golfi klubi Birdie Bunch,80599689,Harjumaa,37,Rae,653,59.393262042293,24.809493437718
98,7343,Discgolf Events MTÜ,80595183,Tartumaa,79,Kambja,283,58.321534626706,26.705263915906
99,3864,Discgolfiklubi Hole-in-One,80317294,Pärnumaa,68,Pärnu,624,58.373247553286,24.551857442331
100,7467,Discgolfiklubi Richards MTÜ,80607160,Pärnumaa,68,Häädemeeste,214,58.286198332844,24.594336580242
101,5713,Diva Tantsustuudio,80381849,Harjumaa,37,Keila,296,59.314620808475,24.411863789056
102,5251,DSV Spordiklubi,80366838,Harjumaa,37,Saku,719,59.333003185394,24.644969747256
103,1680,Eesti 3x3 Korvpalli Liit,80234172,Harjumaa,37,Tallinn,784,59.429546553595,24.750163365398
104,3164,Eesti 470 Klassiliit,80086323,Harjumaa,37,Tallinn,784,59.465671654494,24.826290888093
105,4001,Eesti Aerutamisföderatsioon,80071801,Harjumaa,37,Tallinn,784,59.462510623338,24.832427615157
106,4073,Eesti Akadeemiline Spordiliit,80030498,Tartumaa,79,Tartu linn,793,58.388355314997,26.721880279108
107,4040,Eesti Allveeliit,80088109,Harjumaa,37,Tallinn,784,59.448575293976,24.851944130986
108,4042,Eesti Amburite Liit,80098496,Pärnumaa,68,Pärnu,624,58.391027043499,24.535634266918
109,2076,Eesti Automudelispordi Klubi,80039588,Harjumaa,37,Tallinn,784,59.380050172586,24.691439108283
110,4043,Eesti Autospordi Liit,80076023,Harjumaa,37,Rae,653,59.382050430782,24.836393309674
111,7253,Eesti Breiktantsu Spordi Ühendus,80590317,Harjumaa,37,Tallinn,784,59.433699105996,24.794057910784
112,4025,Eesti Budo Föderatsioon,80005810,Harjumaa,37,Saku,719,59.335893821813,24.611569732773
113,5424,Eesti Capoeira Föderatsioon,80127111,Harjumaa,37,Tallinn,784,59.453641163682,24.879388150954
114,5482,Eesti Castingu Liit MTÜ,80386456,Harjumaa,37,Tallinn,784,59.441531843384,24.588416272382
115,6533,Eesti Cheerleadingu Liit,80551323,Harjumaa,37,Tallinn,784,59.428307386911,24.654235965136
116,5213,Eesti Discgolfi Liit,80377776,Pärnumaa,68,Pärnu,624,58.383700967688,24.512012759283
117,7881,Eesti Downi Sündroomiga Ujujate Liit,80622313,Harjumaa,37,Tallinn,784,59.43758141453,24.782588401675
118,6696,Eesti Draakon Klassi Purjetajate Liit,80563639,Harjumaa,37,Tallinn,784,59.465671654494,24.826290888093
119,1133,Eesti Elektriratastooli Saalihoki Klubi,80225500,Harjumaa,37,Tallinn,784,59.383642836121,24.698720464943
120,2317,Eesti Energia Spordiklubi,80234634,Harjumaa,37,Tallinn,784,59.404016437443,24.733009273271
121,6492,Eesti Eskrima klubi,80547729,Harjumaa,37,Rae,653,59.391289972144,24.824519197427
122,5875,Eesti Feederdajate Klubi,80348548,Tartumaa,79,Kambja,283,58.282550728577,26.65199218954
123,3163,Eesti Firmaspordi Liit,80228438,Tartumaa,79,Tartu linn,793,58.375496285227,26.693248021014
124,4044,Eesti Golfi Liit,80091330,Harjumaa,37,Tallinn,784,59.404009328716,24.712224812444
125,6116,Eesti Golfiseenioride Ühendus,80409453,Harjumaa,37,Rae,653,59.400066028524,24.800055303582
126,3606,Eesti Hapkido Föderatsioon,80114462,Harjumaa,37,Tallinn,784,59.444655845072,24.704150701866
127,3635,Eesti Harrastusspordi Liit,80302324,Harjumaa,37,Tallinn,784,59.43410298585,24.560773500092
128,3773,Eesti Hobikrossiklubi,80305067,Harjumaa,37,Kiili,305,59.282067251314,24.917963932101
129,5405,Eesti Hobusekasvatajate Selts,80083431,Pärnumaa,68,Tori,809,58.481570536397,24.810826714825
130,4045,Eesti Indiaca Liit,80102134,Tartumaa,79,Tartu linn,793,58.375998431068,26.763634695474
131,3285,Eesti Invaspordi Liit,80018936,Harjumaa,37,Tallinn,784,59.419057981977,24.739875762167
132,2966,Eesti Jahimeeste Selts,80028484,Harjumaa,37,Tallinn,784,59.4418,24.806
133,2964,Eesti Jahispordi Liit,80011710,Harjumaa,37,Tallinn,784,59.441927624646,24.805974866781
134,4028,Eesti Jahtklubide Liit,80074834,Harjumaa,37,Tallinn,784,59.465671654494,24.826290888093
135,4006,Eesti Jalgpalli Liit,80091598,Harjumaa,37,Tallinn,784,59.420663156213,24.732085471492
