org_id,nimi,registrikood,maakond,maakond_kood,kov,kov_kood,kaart_laius,kaart_pikkus,location_name,location_address
4158,akrobaatikaklubi tirel,80325727,pärnumaa,68,pärnu,624,58.370106734961,24.541026321646,pärnu kergejõustikuhall,"väike-kuke tn 8c, pärnu linn, pärnu linn, pärnu maakond"
4158,akrobaatikaklubi tirel,80325727,pärnumaa,68,pärnu,624,58.370106734961,24.541026321646,pärnu vanalinna põhikooli võimla,"pühavaimu tn 19, pärnu linn, pärnu linn, pärnu maakond"
7921,al purjetab mtü,80626239,harjumaa,37,rae,653,59.363837222177,24.930749055013,0,0
3801,alavere spordiklubi,80308961,harjumaa,37,anija,141,59.245697336261,25.326267887934,alavere põhikooli spordisaal,"kose mnt 6, alavere küla, anija vald, harju maakond"
3801,alavere spordiklubi,80308961,harjumaa,37,anija,141,59.245697336261,25.326267887934,alavere põhikooli spordisaal,"kose mnt 6, alavere küla, anija vald, harju maakond"
432,alpiklubi firn,80112471,tartumaa,79,tartu linn,793,58.366958011341,26.77050044942,0,0
928,alu spordiklubi,80043561,raplamaa,71,rapla,668,59.023420996755,24.76483784087,alu spordihoone,"keskuse tee 1, alu alevik, rapla vald, rapla maakond"
6703,alutaguse ammuklubi silex,80565199,ida-virumaa,45,alutaguse,130,59.106967698781,27.302066393127,alutaguse ratsakeskus,"hõbemaa, pootsiku küla, alutaguse vald, ida-viru maakond"
6703,alutaguse ammuklubi silex,80565199,ida-virumaa,45,alutaguse,130,59.106967698781,27.302066393127,mäetaguse kirvehall,"tamme tn 17, mäetaguse alevik, alutaguse vald, ida-viru maakond"
5349,alutaguse eagle disc golfi klubi,80375872,ida-virumaa,45,jõhvi,251,59.364660319863,27.406013074792,alutaguse tervisespordikeskus,"pannjärve tervisespordikeskus, vasavere küla, alutaguse vald, ida-viru maakond"
5349,alutaguse eagle disc golfi klubi,80375872,ida-virumaa,45,jõhvi,251,59.364660319863,27.406013074792,iisaku rulluisuringrada ja suusarada,"tartu mnt 62, iisaku alevik, alutaguse vald, ida-viru maakond"
5349,alutaguse eagle disc golfi klubi,80375872,ida-virumaa,45,jõhvi,251,59.364660319863,27.406013074792,kiviõli seiklusturismi keskus,"mäepealse tee 1, kiviõli linn, lüganuse vald, ida-viru maakond"
5349,alutaguse eagle disc golfi klubi,80375872,ida-virumaa,45,jõhvi,251,59.364660319863,27.406013074792,"mäetaguse mäe valgustatud suusa-, rolleri- ja liikumisrajad","mäe, mäetaguse küla, alutaguse vald, ida-viru maakond"
4960,alutaguse jahilaskurklubi mtü,80356662,ida-virumaa,45,kohtla-järve,321,59.398869125136,27.296372375261,0,0
1329,alutaguse koolispordi ühing,80152356,ida-virumaa,45,jõhvi,251,59.358232329267,27.412853866086,0,0
1231,alutaguse matkaklubi,80082259,ida-virumaa,45,toila,803,59.351932226024,27.171653545472,kohtla-nõmme talvekeskuse matka- ja suusarajad,"jaama tn 100, kohtla-nõmme alev, toila vald, ida-viru maakond"
1207,alutaguse suusaklubi,80069081,ida-virumaa,45,alutaguse,130,59.289367256802,27.559101252077,alutaguse tervisespordikeskus,"pannjärve tervisespordikeskus, vasavere küla, alutaguse vald, ida-viru maakond"
1207,alutaguse suusaklubi,80069081,ida-virumaa,45,alutaguse,130,59.289367256802,27.559101252077,iisaku rulluisuringrada ja suusarada,"tartu mnt 62, iisaku alevik, alutaguse vald, ida-viru maakond"
1207,alutaguse suusaklubi,80069081,ida-virumaa,45,alutaguse,130,59.289367256802,27.559101252077,illuka kooli spordiväljak,"hariduse, illuka küla, alutaguse vald, ida-viru maakond"
1207,alutaguse suusaklubi,80069081,ida-virumaa,45,alutaguse,130,59.289367256802,27.559101252077,jõhvi spordihall,"hariduse tn 5, jõhvi linn, jõhvi vald, ida-viru maakond"
1207,alutaguse suusaklubi,80069081,ida-virumaa,45,alutaguse,130,59.289367256802,27.559101252077,kohtla-nõmme talvekeskuse matka- ja suusarajad,"jaama tn 100, kohtla-nõmme alev, toila vald, ida-viru maakond"
1207,alutaguse suusaklubi,80069081,ida-virumaa,45,alutaguse,130,59.289367256802,27.559101252077,mäetaguse põhikooli staadion,"pargi tn 5, mäetaguse alevik, alutaguse vald, ida-viru maakond"
1207,alutaguse suusaklubi,80069081,ida-virumaa,45,alutaguse,130,59.289367256802,27.559101252077,mäetaguse põhikooli võimla,"kooli tn 6, mäetaguse alevik, alutaguse vald, ida-viru maakond"
1207,alutaguse suusaklubi,80069081,ida-virumaa,45,alutaguse,130,59.289367256802,27.559101252077,toila gümnaasiumi staadion,"lossiplatsi tn 3, pühajõe küla, toila vald, ida-viru maakond"
1207,alutaguse suusaklubi,80069081,ida-virumaa,45,alutaguse,130,59.289367256802,27.559101252077,voka spordihoone,"metsa tn 2, voka alevik, toila vald, ida-viru maakond"
1207,alutaguse suusaklubi,80069081,ida-virumaa,45,alutaguse,130,59.289367256802,27.559101252077,voka staadion,"metsa tn 2, voka alevik, toila vald, ida-viru maakond"
121,ambla spordiklubi,80085996,järvamaa,52,järva,255,59.143047671968,25.7556309626,aravete terviserada,"rava metskond 74, kurisoo küla, järva vald, järva maakond"
121,ambla spordiklubi,80085996,järvamaa,52,järva,255,59.143047671968,25.7556309626,aravete spordihoone,"piibe mnt 21, aravete alevik, järva vald, järva maakond"
121,ambla spordiklubi,80085996,järvamaa,52,järva,255,59.143047671968,25.7556309626,aravete spordihoone,"piibe mnt 21, aravete alevik, järva vald, järva maakond"
121,ambla spordiklubi,80085996,järvamaa,52,järva,255,59.143047671968,25.7556309626,aravete terviserada,"rava metskond 74, kurisoo küla, järva vald, järva maakond"
121,ambla spordiklubi,80085996,järvamaa,52,järva,255,59.143047671968,25.7556309626,aravete terviserada,"rava metskond 74, kurisoo küla, järva vald, järva maakond"
121,ambla spordiklubi,80085996,järvamaa,52,järva,255,59.143047671968,25.7556309626,aravete spordihoone,"piibe mnt 21, aravete alevik, järva vald, järva maakond"
7537,amg spordiselts mtü,80603066,viljandimaa,84,mulgi,480,58.12935066471,25.362452145722,abja gümnaasiumi spordisaal,"abja tee 15, abja-paluoja linn, mulgi vald, viljandi maakond"
6109,amk kalev mtü,80408778,harjumaa,37,tallinn,784,59.385442437851,24.712122365452,maardu krossirada,"üleoru tn 2, maardu linn, harju maakond"
6109,amk kalev mtü,80408778,harjumaa,37,tallinn,784,59.385442437851,24.712122365452,männiku krossirada,"männiku krossirada, männiku küla, saku vald, harju maakond"
4833,andsumäe suusaklubi,80357785,võrumaa,87,võru vald,917,57.785210501314,26.986194490569,haanja puhke- ja suusakeskuse suusastaadion ja murdmaasuusarajad,"spordi, haanja küla, rõuge vald, võru maakond"
4833,andsumäe suusaklubi,80357785,võrumaa,87,võru vald,917,57.785210501314,26.986194490569,sa võru spordikeskuse andsumäe spordibaas,"andsumäe spordibaas, meegomäe küla, võru vald, võru maakond"
4833,andsumäe suusaklubi,80357785,võrumaa,87,võru vald,917,57.785210501314,26.986194490569,tehvandi spordikeskuse k90 suusahüppemägi,"olümpiakeskus tehvandi, otepää linn, otepää vald, valga maakond"
4833,andsumäe suusaklubi,80357785,võrumaa,87,võru vald,917,57.785210501314,26.986194490569,tehvandi spordikeskuse suusarajad,"olümpiakeskus tehvandi, otepää linn, otepää vald, valga maakond"
4833,andsumäe suusaklubi,80357785,võrumaa,87,võru vald,917,57.785210501314,26.986194490569,võru kubija rullirada,"meegomäe ring, meegomäe küla, võru vald, võru maakond"
2106,anna levandi iluuisutamisklubi,80070888,harjumaa,37,tallinn,784,59.393823793795,24.729698732609,0,0
2967,anna melody tantsu ja iluvõimlemise spordikool,80238862,harjumaa,37,tallinn,784,59.437568847454,24.831921948304,lasnamäe sulgpallihall,"punane tn 69, lasnamäe linnaosa, tallinna linn, harju maakond"
2967,anna melody tantsu ja iluvõimlemise spordikool,80238862,harjumaa,37,tallinn,784,59.437568847454,24.831921948304,lindakivi kultuurikeskuse huviringide maja,kalevipoja 10
2967,anna melody tantsu ja iluvõimlemise spordikool,80238862,harjumaa,37,tallinn,784,59.437568847454,24.831921948304,play arena,"punane tn 6, lasnamäe linnaosa, tallinna linn, harju maakond"
2967,anna melody tantsu ja iluvõimlemise spordikool,80238862,harjumaa,37,tallinn,784,59.437568847454,24.831921948304,t1 lifedance stuudio,"peterburi tee 2, lasnamäe linnaosa, tallinn, harju maakond"
2967,anna melody tantsu ja iluvõimlemise spordikool,80238862,harjumaa,37,tallinn,784,59.437568847454,24.831921948304,tallinna raadiku lasteaed,mahtra 13. tallinn
2967,anna melody tantsu ja iluvõimlemise spordikool,80238862,harjumaa,37,tallinn,784,59.437568847454,24.831921948304,tallinna suur-pae lasteaed,"punane tn 29, lasnamäe linnaosa, tallinn, harju maakond"
5013,annikoru discgolfi klubi,80360801,tartumaa,79,elva,171,58.269630976835,26.305548032385,annikoru männiku discgolfi park,"annikoru park, annikoru küla, elva vald, tartu maakond"
7045,ap spordiklubi,80577831,võrumaa,87,võru linn,919,57.850240083336,27.00355472161,võru-haanja sporditrass,"võru vald, haanja vald"
7886,artboxing mtü,80622891,pärnumaa,68,pärnu,624,58.36678139281,24.547027196678,karateklubi corpore saal,"mere tn 7, pärnu linn, pärnu linn, pärnu maakond"
1781,artemi tepi poksiklubi,80079820,harjumaa,37,tallinn,784,59.457147301623,24.68256441449,artemi tepi poksiklubi poksisaal,"sõle tn 18, põhja-tallinna linnaosa, tallinn, harju maakond"
1648,aruküla pallimängude klubi,80188880,harjumaa,37,raasiku,651,59.363914768784,25.080340636349,aruküla staadion ja spordiväljakud,"põllu tn 5, aruküla alevik, raasiku vald, harju maakond"
1648,aruküla pallimängude klubi,80188880,harjumaa,37,raasiku,651,59.363914768784,25.080340636349,aruküla spordihoone,"põllu tn 5, aruküla alevik, raasiku vald, harju maakond"
1505,aruküla spordiklubi,80063888,harjumaa,37,raasiku,651,59.364870788951,25.076491563731,aruküla spordihoone,"põllu tn 5, aruküla alevik, raasiku vald, harju maakond"
1505,aruküla spordiklubi,80063888,harjumaa,37,raasiku,651,59.364870788951,25.076491563731,aruküla staadion ja spordiväljakud,"põllu tn 5, aruküla alevik, raasiku vald, harju maakond"
1505,aruküla spordiklubi,80063888,harjumaa,37,raasiku,651,59.364870788951,25.076491563731,raasiku spordihoone,"meierei tn 27, raasiku alevik, raasiku vald, harju maakond"
6714,as eesti golfikeskus,10095562,harjumaa,37,lääne-harju,431,59.313686238157,24.313869932751,0,0
6713,as egcc,10872617,harjumaa,37,jõelähtme,245,59.467041516418,25.13841891555,0,0
8013,as koeru hooldekeskus,16776116,järvamaa,52,järva,255,58.965225789323,26.03172711175,0,0
5111,as og elektra,10054238,lääne-virumaa,60,rakvere linn,663,59.345984559167,26.364283844028,0,0
35,as põlva piim spordiklubi mumuu,80155550,põlvamaa,64,kanepi,284,58.079326417658,26.907519031806,0,0
7738,as white beach development,10816814,pärnumaa,68,pärnu,624,58.392245892043,24.391805370752,0,0
1200,aseri spordiklubi,80061300,lääne-virumaa,60,viru-nigula,903,59.447962802244,26.871641898911,aseri staadion,"kesktänav 22, aseri alevik, viru-nigula vald, lääne-viru maakond"
1200,aseri spordiklubi,80061300,lääne-virumaa,60,viru-nigula,903,59.447962802244,26.871641898911,aseri vabaajakeskus,"kesktänav 22, aseri alevik, viru-nigula vald, lääne-viru maakond"
1200,aseri spordiklubi,80061300,lääne-virumaa,60,viru-nigula,903,59.447962802244,26.871641898911,aseri vabaajakeskus,"kesktänav 22, aseri alevik, viru-nigula vald, lääne-viru maakond"
1200,aseri spordiklubi,80061300,lääne-virumaa,60,viru-nigula,903,59.447962802244,26.871641898911,aseri vabaajakeskus,"kesktänav 22, aseri alevik, viru-nigula vald, lääne-viru maakond"
6902,astangu kutserehabilitatsiooni keskus,70003566,harjumaa,37,tallinn,784,59.404917464283,24.635473196755,0,0
7283,astra laskespordiklubi,80597911,harjumaa,37,tallinn,784,59.439484923748,24.7409575653,0,0
6966,atari judo mtü,80570208,harjumaa,37,tallinn,784,6.5709715223463,20.776128786941,järveküla lasteaed: leerimäe maja,"leerimäe tee 1, järveküla, rae vald, harjumaa"
6966,atari judo mtü,80570208,harjumaa,37,tallinn,784,6.5709715223463,20.776128786941,kiili lasteaed,"lootuse tn 4, kiili alev, kiili vald, harju maakond"
6966,atari judo mtü,80570208,harjumaa,37,tallinn,784,6.5709715223463,20.776128786941,kotka lasteaed,"kotka tee 35, alliku küla, saue vald, harju maakond"
6966,atari judo mtü,80570208,harjumaa,37,tallinn,784,6.5709715223463,20.776128786941,saku lasteaed päikesekild,"teaduse tn 14, saku alevik, saku vald, harju maakond"
6966,atari judo mtü,80570208,harjumaa,37,tallinn,784,6.5709715223463,20.776128786941,saku lasteaed terake,"tallinna mnt 12, saku alevik, saku vald, harju maakond"
6966,atari judo mtü,80570208,harjumaa,37,tallinn,784,6.5709715223463,20.776128786941,tallinna haraka lasteaed,"haraka tn 7, kristiine linnaosa, tallinn, harju maakond"
6966,atari judo mtü,80570208,harjumaa,37,tallinn,784,6.5709715223463,20.776128786941,tallinna lasteaed kullatera,"magdaleena tn 11/1, kesklinna linnaosa, tallinn, harju maakond"
6966,atari judo mtü,80570208,harjumaa,37,tallinn,784,6.5709715223463,20.776128786941,tallinna lasteaed mooniõied,"kiili tn 6, mustamäe linnaosa, tallinn, harju maakond"
6966,atari judo mtü,80570208,harjumaa,37,tallinn,784,6.5709715223463,20.776128786941,tallinna lasteaed naksitrallid,"järveotsa tee 33, haabersti linnaosa, tallinn, harju maakond"
6966,atari judo mtü,80570208,harjumaa,37,tallinn,784,6.5709715223463,20.776128786941,tallinna lepatriinu lasteaed,"keemia tn 40, kristiine linnaosa, tallinn, harju maakond"
6966,atari judo mtü,80570208,harjumaa,37,tallinn,784,6.5709715223463,20.776128786941,tallinna liivamäe lasteaed,"juhkentali tn 25, kesklinna linnaosa, tallinn, harju maakond"
6966,atari judo mtü,80570208,harjumaa,37,tallinn,784,6.5709715223463,20.776128786941,tallinna lotte lasteaed,"l. koidula tn 23, kesklinna linnaosa, tallinn, harju maakond"
3643,atleetklubi titaan,80183440,ida-virumaa,45,jõhvi,251,59.360774723524,27.430832522998,0,0
958,ato spordiklubi,80176262,raplamaa,71,rapla,668,58.996882767032,24.78942829732,kehtna põhikooli võimla,"staadioni tn 16, kehtna alevik, kehtna vald, rapla maakond"
958,ato spordiklubi,80176262,raplamaa,71,rapla,668,58.996882767032,24.78942829732,rapla kesklinna kooli spordisaalid,"keskkooli tn 2, rapla linn, rapla vald, rapla maakond"
958,ato spordiklubi,80176262,raplamaa,71,rapla,668,58.996882767032,24.78942829732,sadolin spordihoone,"viljandi mnt 69a, rapla linn, rapla vald, rapla maakond"
1782,audentese spordiklubi,80132187,harjumaa,37,tallinn,784,6.5709715223463,20.776128786941,audentese spordikeskuse spordihoone,"tondi tn 84, kristiine linnaosa, tallinna linn, harju maakond"
1782,audentese spordiklubi,80132187,harjumaa,37,tallinn,784,6.5709715223463,20.776128786941,audentese spordikeskuse spordihoone,"tondi tn 84, kristiine linnaosa, tallinna linn, harju maakond"
1782,audentese spordiklubi,80132187,harjumaa,37,tallinn,784,6.5709715223463,20.776128786941,audentese spordikeskuse spordihoone,"tondi tn 84, kristiine linnaosa, tallinna linn, harju maakond"
1782,audentese spordiklubi,80132187,harjumaa,37,tallinn,784,6.5709715223463,20.776128786941,audentese spordikeskuse staadion,"tondi tn 84, kristiine linnaosa, tallinna linn, harju maakond"
1782,audentese spordiklubi,80132187,harjumaa,37,tallinn,784,6.5709715223463,20.776128786941,kadrioru staadion,"roheline aas 24, kesklinna linnaosa, tallinn, harju maakond"
1782,audentese spordiklubi,80132187,harjumaa,37,tallinn,784,6.5709715223463,20.776128786941,audentese spordikeskuse spordihoone,"tondi tn 84, kristiine linnaosa, tallinna linn, harju maakond"
1782,audentese spordiklubi,80132187,harjumaa,37,tallinn,784,6.5709715223463,20.776128786941,audentese spordikeskuse ujula ja spordisaalid,"tondi tn 84, kristiine linnaosa, tallinna linn, harju maakond"
1782,audentese spordiklubi,80132187,harjumaa,37,tallinn,784,6.5709715223463,20.776128786941,audentese spordikeskuse lasketiir,"tondi tn 84, kristiine linnaosa, tallinna linn, harju maakond"
1782,audentese spordiklubi,80132187,harjumaa,37,tallinn,784,6.5709715223463,20.776128786941,audentese spordikeskuse spordihoone,"tondi tn 84, kristiine linnaosa, tallinna linn, harju maakond"
1782,audentese spordiklubi,80132187,harjumaa,37,tallinn,784,6.5709715223463,20.776128786941,ratsaspordibaas tondi maneež,"tondi tn 30, kristiine linnaosa, tallinn, harju maakond"
