rajatisid,rajatisnimi,kompleks,liik,omandiliik,ehstaatus,om_oigvorm_id,omaniknimi,omanikregkood,va_oigvorm_id,valdajanimi,valdajaregkood,kaart_laius,kaart_pikkus,maakond,maakond_kood,kov,asustusyksus,asustusyksus_kood,riietusruumidemahutavus,objektid,objektnimi,tehnseisukord,spordialad
5004,Kakumäe orienteerumiskaart,,Muu sportimiseks kasutatav objekt,Muu,Spordialases kasutuses,,,,,,,59.449962,24.586935,Harjumaa,37,,,,,10494,Kakumäe orienteerumiskaart,,Orienteerumine
5005,Kakumäe orienteerumiskaart,,Muu sportimiseks kasutatav objekt,Muu,Spordialases kasutuses,,,,,,,59.449962,24.586935,Harjumaa,37,,,,,10495,Kakumäe orienteerumiskaart,,Orienteerumine
1278,Kakumäe-Pajusti-Piira-Tõrma kergliiklustee,,Muu sportimiseks kasutatav objekt,Muu,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Vinni Vallavalitsus,75008746,Kohaliku omavalitsuse üksus,Vinni Vallavalitsus,75008746,59.267801,26.441506,Lääne-Virumaa,60,Vinni,Pajusti alevik,5896,0,3788,Kakumäe-Pajusti-Piira-Tõrma kergliiklustee,Hea,Tervisejooks ja -kõnd
456,Kalamaja Põhikooli spordiväljakud,Kalamaja Põhikool,"Muu spordiplats, Välispalliväljak",Hoonestusõigus,Spordialases kasutuses,Osaühing,Vivatex Holding OÜ,11271707,Kohaliku omavalitsuse üksus,Kalamaja Põhikool,75017296,59.444034,24.727896,Harjumaa,37,Tallinn,Põhja-Tallinna linnaosa,614,20,4781,Korvpalliplats,Hea,Korvpall
455,Kalamaja Põhikooli väike võimla,Kalamaja Põhikool,"Võimla, spordihall, spordisaal",Hoonestusõigus,Spordialases kasutuses,Osaühing,Vivatex Holding OÜ,11271707,Kohaliku omavalitsuse üksus,Kalamaja Põhikool,75017296,59.44375484,24.72846576,Harjumaa,37,Tallinn,Põhja-Tallinna linnaosa,614,40,4779,Väike võimla,Hea,"aeroobika, akrobaatiline võimlemine, Maadlus, ju-jutsu"
5916,Kalaranna orienteerumiskaart,,Muu sportimiseks kasutatav objekt,Muu,Spordialases kasutuses,,,,,,,59.4502,24.7594,Harjumaa,37,,,,,12054,Kalaranna orienteerumiskaart,,Orienteerumine
3877,Kaldase tee - Vana-Narva mnt kergliiklustee,,Muu sportimiseks kasutatav objekt,Muu,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Maardu Linnavalitsus,75011470,Kohaliku omavalitsuse üksus,Maardu Linnavalitsus,75011470,59.4673376,24.94172499,Harjumaa,37,Maardu,,,0,8462,Kaldase tee - Vana Narva mnt kergliiklustee,Hea,"Tervisejooks ja -kõnd, Kepikõnd"
5410,Kaleste orienteerumiskaart,,Muu sportimiseks kasutatav objekt,Muu,Spordialases kasutuses,,,,,,,58.912092,22.133717,Hiiumaa,39,,,,,11171,Kaleste orienteerumiskaart,,Orienteerumine
5409,Kaleste-Korbi orienteerumiskaart,,Muu sportimiseks kasutatav objekt,Muu,Spordialases kasutuses,,,,,,,58.912247,22.142352,Hiiumaa,39,,,,,11170,Kaleste-Korbi orienteerumiskaart,,Orienteerumine
590,Kalevi Jahtklubi sadam,,"Muu sportimiseks kasutatav objekt, Spordi abihoone, Spordi abirajatis",Hoonestusõigus,Spordialases kasutuses,Mittetulundusühing,Kalevi Jahtklubi,80075242,Mittetulundusühing,Kalevi Jahtklubi,80075242,59.4654528,24.82997727,Harjumaa,37,Tallinn,Pirita linnaosa,596,55,363,Kalevi Jahtklubi peahoone,Rahuldav,
1124,Kalevi Keskstaadion,,"Staadion, Välispalliväljak",Hoonestusõigus,Spordialases kasutuses,Mittetulundusühing,Mittetulundusühing EESTI SPORDISELTS KALEV,80028946,Osaühing,Kalevi Staadion OÜ,14396645,59.42585,24.764611,Harjumaa,37,Tallinn,Kesklinna linnaosa,298,264,5935,Kalevi Keskstaadioni kunstmuruväljak,Rahuldav,jalgpall
1122,Kalevi sõudebaas,,"Spordi abihoone, Spordi abirajatis, Võimla, spordihall, spordisaal",Kinnisasi,Spordialases kasutuses,Mittetulundusühing,Mittetulundusühing EESTI SPORDISELTS KALEV,80028946,Mittetulundusühing,Pärnu Sõudekeskus Kalev,80073504,58.38001316,24.5358005,Pärnumaa,68,Pärnu,Pärnu linn,6619,60,6710,Sõudebaas,Hea,"Sõudmine, aerutamine"
614,Kalevi Spordihall,,"Võimla, spordihall, spordisaal",Kinnisasi,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Tallinna Kultuuri- ja Spordiamet,77001435,Kohaliku omavalitsuse üksus,Tallinna Spordihall,75015982 ,59.42733429,24.76056864,Harjumaa,37,Tallinn,Kesklinna linnaosa,298,200,681,Spordihall,Väga hea,"Ilu- ja rühmvõimlemine, Võrkpall, Korvpall"
