rajatisid,rajatisnimi,kompleks,liik,omandiliik,om_oigvorm_id,omaniknimi,omanikregkood,va_oigvorm_id,valdajanimi,valdajaregkood,kaart_laius,kaart_pikkus,maakond,maakond_kood,kov,asustusyksus,asustusyksus_kood,riietusruumidemahutavus,objektid,objektnimi,tehnseisukord,spordialad,renoveerimisaasta,algusaasta,parkimiskohad,normalized_lockers,normalized_parking,normalized_renovation,normalized_start,normalized_condition,facilities_scores
5262,vastse-kuuste discgolfi park,vastse-kuuste kool,muu vabas õhus asuv spordiobjekt,muu,kohaliku omavalitsuse üksus,põlva vallavalitsus,75038581,kohaliku omavalitsuse üksus,põlva vallavalitsus,75038581,58.16649082,26.93033639,põlvamaa,64,põlva,vastse-kuuste alevik,9128,0,10909,vastse-kuuste discgolfi park,rahuldav,discgolf,2016.0,2016.0,10.0,0.0,0.005807200929152149,0.9215686274509803,0.9333333333333333,0.49999999999999994,0.431858987497438
756,vastse-kuuste kooli staadion,vastse-kuuste kool,"muu vabas õhus asuv spordiobjekt, staadion, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,põlva vallavalitsus,75038581,kohaliku omavalitsuse üksus,vastse-kuuste kool,75010536,58.166132,26.928756,põlvamaa,64,põlva,vastse-kuuste alevik,9128,0,701,staadion,hea,"jalgpall, kergejõustik",2007.0,1970.0,10.0,0.0,0.005807200929152149,0.8333333333333334,0.55,0.7500000000000001,0.48029036004645764
755,vastse-kuuste kooli võimla,vastse-kuuste kool,"võimla, spordihall, spordisaal",kinnisasi,kohaliku omavalitsuse üksus,põlva vallavalitsus,75038581,kohaliku omavalitsuse üksus,vastse-kuuste kool,75010536,58.165373,26.932168,põlvamaa,64,põlva,vastse-kuuste alevik,9128,12,599,vastse-kuuste kooli võimla,hea,"korvpall, võrkpall",2007.0,1954.0,20.0,0.008,0.011614401858304297,0.8333333333333334,0.4166666666666667,0.7500000000000001,0.46964738675958195
5266,vastseliina discgolfi park,vastseliina gümnaasium,muu vabas õhus asuv spordiobjekt,muu,kohaliku omavalitsuse üksus,võru vallavalitsus,77000393,kohaliku omavalitsuse üksus,võru vallavalitsus,77000393,57.73342809,27.28758542,võrumaa,87,võru vald,vastseliina alevik,9133,0,10916,vastseliina discgolfi park,hea,discgolf,2019.0,2019.0,0.0,0.0,0.0,0.9509803921568627,0.9583333333333334,0.7500000000000001,0.5384803921568628
716,vastseliina gümnaasiumi siselasketiir,vastseliina gümnaasium,sisetiir,kinnisasi,kohaliku omavalitsuse üksus,võru vallavalitsus,77000393,kohaliku omavalitsuse üksus,võru vallavalitsus,77000393,57.73431526,27.28761443,võrumaa,87,võru vald,vastseliina alevik,9133,0,2004,siselasketiir ,rahuldav,laskmine,1975.0,1975.0,0.0,0.0,0.0,0.5196078431372549,0.5916666666666667,0.49999999999999994,0.3371078431372549
715,vastseliina gümnaasiumi staadion,vastseliina gümnaasium,"muu spordiplats, staadion, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,võru vallavalitsus,77000393,kohaliku omavalitsuse üksus,võru vallavalitsus,77000393,57.733739,27.289524,võrumaa,87,võru vald,vastseliina alevik,9133,0,3127,staadion ,hea,"kergejõustik, jalgpall",2015.0,1975.0,0.0,0.0,0.0,0.9117647058823529,0.5916666666666667,0.7500000000000001,0.49593137254901964
717,vastseliina gümnaasiumi võimla,vastseliina gümnaasium,"võimla, spordihall, spordisaal",kinnisasi,kohaliku omavalitsuse üksus,võru vallavalitsus,77000393,kohaliku omavalitsuse üksus,võru vallavalitsus,77000393,57.73431526,27.28761443,võrumaa,87,võru vald,vastseliina alevik,9133,40,3353,võimla,hea,"aeroobika, korvpall, võrkpall, saalihoki, saalijalgpall, akrobaatiline võimlemine",2003.0,1975.0,20.0,0.02666666666666667,0.011614401858304297,0.7941176470588235,0.5916666666666667,0.7500000000000001,0.48686503381840546
5263,vastseliina jõulinnak,vastseliina gümnaasium,muu vabas õhus asuv spordiobjekt,kinnisasi,kohaliku omavalitsuse üksus,võru vallavalitsus,77000393,kohaliku omavalitsuse üksus,võru vallavalitsus,77000393,57.73450185,27.28919021,võrumaa,87,võru vald,vastseliina alevik,9133,0,10914,vastseliina jõulinnak,väga hea,"harrastusvõimlemine, kulturism ja fitness",2021.0,2021.0,0.0,0.0,0.0,0.9705882352941176,0.975,1.0,0.6430882352941176
3548,vastseliina laskesuusatamise lasketiir ja jooksurajad,vastseliina spordikeskus,"sportliku liikumise püsirada, välitiir",muu,kohaliku omavalitsuse üksus,võru vallavalitsus,77000393,mittetulundusühing,vastseliina spordiklubi,80093412,57.722049,27.269888,võrumaa,87,võru vald,jeedasküla,2184,0,7807,laskesuusatamise lasketiir,rahuldav,"laskesuusatamine, laskmine",2000.0,1970.0,0.0,0.0,0.0,0.7647058823529411,0.55,0.49999999999999994,0.3697058823529411
718,vastseliina noortekeskus,0,"võimla, spordihall, spordisaal",kinnisasi,kohaliku omavalitsuse üksus,võru vallavalitsus,77000393,kohaliku omavalitsuse üksus,võru vallavalitsus,77000393,57.7335107,27.28694789,võrumaa,87,võru vald,vastseliina alevik,9133,7,1834,jõusaal,hea,"jõutõstmine, kulturism ja fitness, tõstesport",2013.0,2011.0,10.0,0.004666666666666667,0.005807200929152149,0.8921568627450981,0.8916666666666667,0.7500000000000001,0.5246805561248891
